Names,Mean,1-2-4,1-5-25,1-10-100,1-15-225,1-20-400,1-25-625,1-27-729,1-27-730,,Names,Var,1-2-4,1-5-25,1-10-100,1-15-225,1-20-400,1-25-625,1-27-729,1-27-730,,,,,,
EU,49.14,45.20,51.84,64.32,64.32,42.94,60.23,93.19,38.47,,EU,878.56,1.64,1.51,9.06,9.06,0.30,0.85,0.79,0.27,,,,,,
ED,45.57,5.20,5.87,115.02,115.02,24.18,54.29,17.57,71.34,,ED,"2,209.75",0.00,0.15,192.76,192.76,27.87,1.32,0.25,2.95,,,,,,
Spot,145.70,137.58,165.54,146.50,165.34,170.27,154.69,145.58,145.47,,Spot,"16,690.60","18,258.82","20,623.27","11,226.19","19,607.73","19,203.51","15,911.86","14,584.18","14,573.52",,,,,,
LU,48.94,41.48,70.28,80.37,71.37,63.55,53.24,48.99,48.94,,LU,"3,132.58",559.54,"6,453.92","9,637.08","6,308.26","4,607.85","3,472.33","3,134.92","3,132.58",,,,,,
LD,67.52,43.51,164.61,159.09,120.09,93.39,74.43,67.60,67.52,,LD,"13,497.84","2,935.25","78,289.31","59,427.97","34,198.05","21,990.39","15,317.05","13,512.07","13,497.84",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,,,,,,,,,,,,,,DIFF Original - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,878.61,162.94,"1,337.80",914.53,377.27,,EU,1.000,0.117,0.349,0.551,0.110,,EU,0.00,0.00,0.00,0.00,0.00,,EU,0.000,0.000,0.000,0.000,0.000
ED,162.94,"2,209.88","-1,962.25",164.96,"3,112.11",,ED,0.117,1.000,-0.323,0.063,0.570,,ED,0.00,0.00,0.00,0.00,0.00,,ED,0.000,0.000,0.000,0.000,0.000
Spot,"1,337.80","-1,962.25","16,691.55","2,048.08","-3,669.30",,Spot,0.349,-0.323,1.000,0.283,-0.244,,Spot,0.00,0.00,0.00,0.00,0.00,,Spot,0.000,0.000,0.000,0.000,0.000
LU,914.53,164.96,"2,048.08","3,132.76",473.72,,LU,0.551,0.063,0.283,1.000,0.073,,LU,0.00,0.00,0.00,0.00,0.00,,LU,0.000,0.000,0.000,0.000,0.000
LD,377.27,"3,112.11","-3,669.30",473.72,"13,498.61",,LD,0.110,0.570,-0.244,0.073,1.000,,LD,0.00,0.00,0.00,0.00,0.00,,LD,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-4,,,,,,,,,,,,,,DIFF 1-2-4 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,1.66,-0.05,4.44,5.81,-6.68,,EU,1.000,-0.655,0.025,0.190,-0.095,,EU,-876.95,-162.98,"-1,333.36",-908.72,-383.95,,EU,0.000,-0.771,-0.324,-0.362,-0.205
ED,-0.05,0.00,-0.11,-0.42,0.54,,ED,-0.655,1.000,-0.014,-0.303,0.170,,ED,-162.98,"-2,209.88","1,962.14",-165.38,"-3,111.57",,ED,-0.771,0.000,0.309,-0.366,-0.400
Spot,4.44,-0.11,"18,451.02","1,461.35","-2,637.83",,Spot,0.025,-0.014,1.000,0.452,-0.357,,Spot,"-1,333.36","1,962.14","1,759.46",-586.73,"1,031.46",,Spot,-0.324,0.309,0.000,0.169,-0.112
LU,5.81,-0.42,"1,461.35",565.43,-90.29,,LU,0.190,-0.303,0.452,1.000,-0.070,,LU,-908.72,-165.38,-586.73,"-2,567.33",-564.01,,LU,-0.362,-0.366,0.169,0.000,-0.143
LD,-6.68,0.54,"-2,637.83",-90.29,"2,966.15",,LD,-0.095,0.170,-0.357,-0.070,1.000,,LD,-383.95,"-3,111.57","1,031.46",-564.01,"-10,532.46",,LD,-0.205,-0.400,-0.112,-0.143,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5-25,,,,,,,,,,,,,,DIFF 1-5-25 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,1.51,0.02,9.78,4.51,-8.24,,EU,1.000,0.033,0.055,0.046,-0.024,,EU,-877.11,-162.92,"-1,328.02",-910.02,-385.51,,EU,0.000,-0.084,-0.294,-0.506,-0.134
ED,0.02,0.15,-4.44,-3.74,7.37,,ED,0.033,1.000,-0.079,-0.118,0.067,,ED,-162.92,"-2,209.73","1,957.81",-168.70,"-3,104.74",,ED,-0.084,0.000,0.244,-0.181,-0.503
Spot,9.78,-4.44,"20,657.70",474.01,"-17,682.45",,Spot,0.055,-0.079,1.000,0.041,-0.439,,Spot,"-1,328.02","1,957.81","3,966.15","-1,574.07","-14,013.15",,Spot,-0.294,0.244,0.000,-0.242,-0.195
LU,4.51,-3.74,474.01,"6,464.69",475.05,,LU,0.046,-0.118,0.041,1.000,0.021,,LU,-910.02,-168.70,"-1,574.07","3,331.93",1.33,,LU,-0.506,-0.181,-0.242,0.000,-0.052
LD,-8.24,7.37,"-17,682.45",475.05,"78,420.01",,LD,-0.024,0.067,-0.439,0.021,1.000,,LD,-385.51,"-3,104.74","-14,013.15",1.33,"64,921.39",,LD,-0.134,-0.503,-0.195,-0.052,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-10-100,,,,,,,,,,,,,,DIFF 1-10-100 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,9.07,-33.03,48.79,34.35,-84.87,,EU,1.000,-0.790,0.153,0.116,-0.116,,EU,-869.55,-195.97,"-1,289.01",-880.18,-462.14,,EU,0.000,-0.907,-0.196,-0.435,-0.225
ED,-33.03,192.84,-221.42,-128.87,330.63,,ED,-0.790,1.000,-0.150,-0.095,0.098,,ED,-195.97,"-2,017.04","1,740.83",-293.83,"-2,781.48",,ED,-0.907,0.000,0.173,-0.157,-0.472
Spot,48.79,-221.42,"11,230.87","2,576.35","-12,274.01",,Spot,0.153,-0.150,1.000,0.248,-0.475,,Spot,"-1,289.01","1,740.83","-5,460.68",528.28,"-8,604.71",,Spot,-0.196,0.173,0.000,-0.036,-0.231
LU,34.35,-128.87,"2,576.35","9,641.10","-1,379.92",,LU,0.116,-0.095,0.248,1.000,-0.058,,LU,-880.18,-293.83,528.28,"6,508.34","-1,853.64",,LU,-0.435,-0.157,-0.036,0.000,-0.130
LD,-84.87,330.63,"-12,274.01","-1,379.92","59,452.75",,LD,-0.116,0.098,-0.475,-0.058,1.000,,LD,-462.14,"-2,781.48","-8,604.71","-1,853.64","45,954.13",,LD,-0.225,-0.472,-0.231,-0.130,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-15-225,,,,,,,,,,,,,,DIFF 1-15-225 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,9.07,-33.03,50.95,28.79,-60.73,,EU,1.000,-0.790,0.121,0.120,-0.109,,EU,-869.55,-195.96,"-1,286.85",-885.74,-438.01,,EU,0.000,-0.907,-0.229,-0.431,-0.219
ED,-33.03,192.80,-228.75,-99.80,242.11,,ED,-0.790,1.000,-0.118,-0.090,0.094,,ED,-195.96,"-2,017.08","1,733.50",-264.76,"-2,870.00",,ED,-0.907,0.000,0.205,-0.153,-0.476
Spot,50.95,-228.75,"19,611.36","2,846.83","-10,206.47",,Spot,0.121,-0.118,1.000,0.256,-0.394,,Spot,"-1,286.85","1,733.50","2,919.80",798.76,"-6,537.17",,Spot,-0.229,0.205,0.000,-0.027,-0.150
LU,28.79,-99.80,"2,846.83","6,309.43",-732.47,,LU,0.120,-0.090,0.256,1.000,-0.050,,LU,-885.74,-264.76,798.76,"3,176.67","-1,206.19",,LU,-0.431,-0.153,-0.027,0.000,-0.123
LD,-60.73,242.11,"-10,206.47",-732.47,"34,204.39",,LD,-0.109,0.094,-0.394,-0.050,1.000,,LD,-438.01,"-2,870.00","-6,537.17","-1,206.19","20,705.77",,LD,-0.219,-0.476,-0.150,-0.123,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-20-400,,,,,,,,,,,,,,DIFF 1-20-400 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,0.30,-0.71,-0.39,1.34,-0.46,,EU,1.000,-0.245,-0.005,0.036,-0.006,,EU,-878.31,-163.65,"-1,338.19",-913.19,-377.73,,EU,0.000,-0.362,-0.354,-0.516,-0.115
ED,-0.71,27.87,-56.44,-48.58,79.77,,ED,-0.245,1.000,-0.077,-0.136,0.102,,ED,-163.65,"-2,182.01","1,905.81",-213.54,"-3,032.34",,ED,-0.362,0.000,0.246,-0.198,-0.468
Spot,-0.39,-56.44,"19,205.51","1,983.67","-7,478.76",,Spot,-0.005,-0.077,1.000,0.211,-0.364,,Spot,"-1,338.19","1,905.81","2,513.95",-64.41,"-3,809.46",,Spot,-0.354,0.246,0.000,-0.072,-0.119
LU,1.34,-48.58,"1,983.67","4,608.33",-156.00,,LU,0.036,-0.136,0.211,1.000,-0.015,,LU,-913.19,-213.54,-64.41,"1,475.57",-629.72,,LU,-0.516,-0.198,-0.072,0.000,-0.088
LD,-0.46,79.77,"-7,478.76",-156.00,"21,992.68",,LD,-0.006,0.102,-0.364,-0.015,1.000,,LD,-377.73,"-3,032.34","-3,809.46",-629.72,"8,494.07",,LD,-0.115,-0.468,-0.119,-0.088,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-25-625,,,,,,,,,,,,,,DIFF 1-25-625 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,0.85,-0.63,12.55,5.07,-10.04,,EU,1.000,-0.598,0.108,0.094,-0.088,,EU,-877.77,-163.57,"-1,325.25",-909.46,-387.31,,EU,0.000,-0.715,-0.241,-0.458,-0.198
ED,-0.63,1.32,-13.66,-8.22,12.23,,ED,-0.598,1.000,-0.094,-0.121,0.086,,ED,-163.57,"-2,208.56","1,948.59",-173.18,"-3,099.88",,ED,-0.715,0.000,0.229,-0.184,-0.484
Spot,12.55,-13.66,"15,912.93","1,996.00","-4,601.39",,Spot,0.108,-0.094,1.000,0.269,-0.295,,Spot,"-1,325.25","1,948.59",-778.63,-52.08,-932.09,,Spot,-0.241,0.229,0.000,-0.015,-0.050
LU,5.07,-8.22,"1,996.00","3,472.56",308.52,,LU,0.094,-0.121,0.269,1.000,0.042,,LU,-909.46,-173.18,-52.08,339.80,-165.20,,LU,-0.458,-0.184,-0.015,0.000,-0.031
LD,-10.04,12.23,"-4,601.39",308.52,"15,318.07",,LD,-0.088,0.086,-0.295,0.042,1.000,,LD,-387.31,"-3,099.88",-932.09,-165.20,"1,819.46",,LD,-0.198,-0.484,-0.050,-0.031,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-27-729,,,,,,,,,,,,,,DIFF 1-27-729 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,0.79,-0.12,11.87,3.18,-5.42,,EU,1.000,-0.266,0.111,0.064,-0.052,,EU,-877.82,-163.05,"-1,325.93",-911.36,-382.69,,EU,0.000,-0.383,-0.239,-0.487,-0.162
ED,-0.12,0.25,-0.08,0.70,-2.11,,ED,-0.266,1.000,-0.001,0.025,-0.036,,ED,-163.05,"-2,209.63","1,962.17",-164.26,"-3,114.22",,ED,-0.383,0.000,0.322,-0.038,-0.606
Spot,11.87,-0.08,"14,585.01","1,911.90","-3,709.77",,Spot,0.111,-0.001,1.000,0.283,-0.264,,Spot,"-1,325.93","1,962.17","-2,106.54",-136.18,-40.47,,Spot,-0.239,0.322,0.000,0.000,-0.020
LU,3.18,0.70,"1,911.90","3,135.10",471.48,,LU,0.064,0.025,0.283,1.000,0.072,,LU,-911.36,-164.26,-136.18,2.34,-2.24,,LU,-0.487,-0.038,0.000,0.000,0.000
LD,-5.42,-2.11,"-3,709.77",471.48,"13,512.84",,LD,-0.052,-0.036,-0.264,0.072,1.000,,LD,-382.69,"-3,114.22",-40.47,-2.24,14.23,,LD,-0.162,-0.606,-0.020,0.000,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-27-730,,,,,,,,,,,,,,DIFF 1-27-730 - Original,,,,,,,,,,,,
Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD,,Names,EU,ED,Spot,LU,LD
EU,0.27,-0.50,5.06,2.04,-4.83,,EU,1.000,-0.566,0.081,0.070,-0.080,,EU,-878.35,-163.44,"-1,332.74",-912.49,-382.10,,EU,0.000,-0.683,-0.268,-0.481,-0.190
ED,-0.50,2.95,-12.88,-9.64,15.56,,ED,-0.566,1.000,-0.062,-0.100,0.078,,ED,-163.44,"-2,206.93","1,949.37",-174.60,"-3,096.55",,ED,-0.683,0.000,0.261,-0.163,-0.492
Spot,5.06,-12.88,"14,574.35","1,913.40","-3,698.63",,Spot,0.081,-0.062,1.000,0.283,-0.264,,Spot,"-1,332.74","1,949.37","-2,117.20",-134.68,-29.34,,Spot,-0.268,0.261,0.000,0.000,-0.019
LU,2.04,-9.64,"1,913.40","3,132.76",473.72,,LU,0.070,-0.100,0.283,1.000,0.073,,LU,-912.49,-174.60,-134.68,0.00,0.00,,LU,-0.481,-0.163,0.000,0.000,0.000
LD,-4.83,15.56,"-3,698.63",473.72,"13,498.61",,LD,-0.080,0.078,-0.264,0.073,1.000,,LD,-382.10,"-3,096.55",-29.34,0.00,0.00,,LD,-0.190,-0.492,-0.019,0.000,0.000
